White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone
57501,2655,96,14624,55,2006
13363,3556,109,27507,69,3059
50320,1782,72,5635,34,1638
18416,6934,396,17779,46,8175
41843,6610,480,11322,84,7773
38396,5749,273,10326,175,4191
67019,5078,194,15270,329,3616
13221,3940,103,7233,82,1441
61467,2478,90,16938,67,1931
37793,4810,289,13318,67,4550
170499,5538,240,22794,64,5056
82682,4738,226,13101,62,3997
39,58,3,2,0,15
17324,20650,1135,7765,72,18374
63030,12329,476,9920,40,9848
8254,20629,906,2265,66,12431
18795,10272,391,8608,46,6518
12592,22728,237,2859,27,5134
13068,16033,1002,2294,62,19036
9970,49970,593,2311,94,10388
14290,10046,1069,3045,68,30480
32088,9242,1288,3024,85,44266
9590,34544,2348,1022,123,38733
4708,16498,1163,445,77,23631
6180,43033,1001,634,134,30501
16063,58804,3306,21561,244,64218
10327,50918,2362,2745,186,63527
39963,35277,1214,9313,108,29029
8476,41668,2364,2040,151,59196
13660,104678,1089,3551,162,25417
11313,29060,1502,1243,117,34147
32302,27188,1453,11339,92,31899
39578,14782,993,5507,96,30501
15886,30514,2840,10244,151,65167
58916,14506,715,18049,58,10165
107999,7259,687,34533,49,9021
75907,2848,2283,86466,68,19987
41229,49319,405,8665,28,5056
123991,5326,1529,42477,53,21310
6751,130621,571,3090,78,6807
72917,2802,991,36818,34,12635
4138,73947,223,1900,41,3554
63923,48574,1214,21485,63,15381
29584,54740,335,2708,35,5882
37667,5424,2815,40609,81,33123
5373,70765,697,1413,92,10965
12658,100195,2072,15070,177,46277
28940,6409,255,3039,26,3884
28691,51032,371,4865,56,6142
48410,6295,226,6149,44,3764
37115,40932,735,5539,74,11590
13309,40043,465,2588,43,5750
33874,21055,2332,7593,163,39584
40166,6519,162,9446,18,2638
25351,20359,319,7347,65,4344
80989,9779,845,7995,85,19406
50876,3301,351,5836,56,4921
27528,12598,349,1876,31,4277
16237,35225,683,1769,65,12746
29355,11934,3222,39235,207,46254
5461,42514,2177,32103,163,26437
94267,5141,1720,19624,101,39162
21054,105514,1369,37173,148,17424
29507,19070,3298,28115,191,30355
47979,19963,1158,60722,105,17212
43712,4427,1725,49115,100,24519
62277,6153,1234,154909,71,27992
17365,8905,4829,66356,77,65255
44586,2916,262,60251,15,6417
55730,3829,451,37348,23,9619
2734,100027,1480,7096,192,11711
102554,18486,1866,34179,209,27897
26261,10054,4894,34726,119,78637
46574,28782,1410,14002,63,18884
61832,17664,1517,19670,71,16762
104075,4494,464,18771,66,7543
83038,1099,208,6836,34,3068
